00:03:93,Apple
00:05:02,Apple
00:0A:27,Apple
00:0A:95,Apple
00:0D:93,Apple
00:10:FA,Apple
00:11:24,Apple
00:14:51,Apple
00:16:CB,Apple
00:17:F2,Apple
00:19:E3,Apple
00:1B:63,Apple
00:1C:B3,Apple
00:1D:4F,Apple
00:1E:52,Apple
00:1F:5B,Apple
00:1F:F3,Apple
00:21:E9,Apple
00:22:41,Apple
00:23:12,Apple
00:23:32,Apple
00:23:6C,Apple
00:23:DF,Apple
00:24:36,Apple
00:25:00,Apple
00:25:4B,Apple
00:25:BC,Apple
00:26:08,Apple
00:26:4A,Apple
00:26:B0,Apple
00:26:BB,Apple
00:3E:E1,Apple
00:50:E4,Apple
00:61:71,Apple
00:88:65,Apple
00:C6:10,Apple
00:CD:FE,Apple
00:F4:B9,Apple
00:F7:6F,Apple
04:0C:CE,Apple
04:15:52,Apple
04:26:65,Apple
04:48:9A,Apple
04:54:53,Apple
04:D3:CF,Apple
04:E5:36,Apple
04:F1:3E,Apple
04:F7:E4,Apple
08:66:98,Apple
08:70:45,Apple
08:74:02,Apple
08:E6:89,Apple
0C:3E:9F,Apple
0C:4D:E9,Apple
0C:74:C2,Apple
10:41:7F,Apple
10:93:E9,Apple
10:9A:DD,Apple
10:DD:B1,Apple
14:10:9F,Apple
14:8F:C6,Apple
14:BD:61,Apple
18:20:32,Apple
18:34:51,Apple
18:3A:2D,Apple
18:AF:8F,Apple
1C:AB:A7,Apple
20:3C:AE,Apple
20:7D:74,Apple
20:AB:37,Apple
20:C9:D0,Apple
24:A0:74,Apple
24:A2:E1,Apple
24:AB:81,Apple
24:F0:94,Apple
24:F6:77,Apple
28:37:37,Apple
28:3C:E4,Apple
28:5A:EB,Apple
28:6A:B8,Apple
28:6A:BA,Apple
28:A0:2B,Apple
28:CF:DA,Apple
28:CF:E9,Apple
28:E0:2C,Apple
28:E1:4C,Apple
28:ED:6A,Apple
2C:1F:23,Apple
2C:33:11,Apple
2C:36:F8,Apple
2C:B4:3A,Apple
2C:BE:08,Apple
2C:D1:41,Apple
